A B
TRACE Erskine_JW 24 3 500575 500025 0.798 0.002
0.798 -365.984
0.8 -411.868
0.802 -184.331
0.804 269.377
0.806 769.424
0.808 1177.72
0.81 1450.7
0.812 1541.09
0.814 1405.31
0.816 1177.8
0.818 905.777
0.82 587.425
0.822 315.406
0.824 -2.9498
0.826 -411.225
0.828 -820.425
0.83 -1274.13
0.832 -1592.51
0.834 -1682.89
0.836 -1456.29
0.838 -956.26
0.84 -275.498
0.842 542.444
0.844 1223.2
0.846 1723.24
0.848 1904.42
0.85 1768.63
0.852 1313.98
0.854 542.371
0.856 -411.853
0.858 -1501.37
0.86 -2410.17
0.862 -3000.1
0.864 -3136.82
0.866 -2682.15
0.868 -1774.29
0.87 -592.942
0.872 541.994
0.874 1450.84
0.876 1995.35
0.878 2177.52
0.88 2086.18
0.882 1768.77
0.884 1404.92
0.886 996.682
0.888 678.24
0.89 451.674
0.892 405.733
0.894 542.518
0.896 905.332
0.898 1314.64
0.9 1632.04
0.902 1587.2
0.904 1087.11
0.906 133.957
0.908 -1183.64
0.91 -2636.36
0.912 -3863.13
0.914 -4725.42
0.916 -5043.87
0.918 -4816.15
0.92 -4044.6
0.922 -2863.14
0.924 -1274.1
0.926 497.791
0.928 2359.32
0.93 3994.96
0.932 5220.64
0.934 5811.69
0.936 5674.85
0.938 4857.99
0.94 3494.89
0.942 1860.53
0.944 224.927
0.946 -1227.75
0.948 -2363.76
0.95 -3044.33
0.952 -3317.41
0.954 -3180.45
0.956 -2681.44
0.958 -1908.64
0.96 -1000.87
0.962 -182.647
0.964 452.607
0.966 862.083
0.968 952.324
0.97 816.795
0.972 498.275
0.974 90.2418
0.976 -273.703
0.978 -545.489
0.98 -682.357
0.982 -727.063
0.984 -636.855
0.986 -499.9
0.988 -364.283
0.99 -181.92
0.992 44.524
0.994 408.548
0.996 907.49
0.998 1453.18
1 1952.12
1.002 2270.73
1.004 2224.68
1.006 1816.62
1.008 1134.74
1.01 272.519
1.012 -591.016
1.014 -1407.83
1.016 -2089.69
1.018 -2543.18
1.02 -2725.46
1.022 -2588.54
1.024 -2089.57
1.026 -1271.4
1.028 -272.847
1.03 681.561
1.032 1407.62
