TIME,VP,RHOB,DT,AI, 
0.60009087,3088.1458,2310.9265,323.81891,7136478,
0.60018343,3189.8721,2329.5047,313.81127,7432711.5,
0.600276,3291.5767,2348.0789,303.80578,7728881.5,
0.60037053,3267.186,2343.7079,306.08636,7657408,
0.60046506,3225.3973,2336.1864,310.03933,7535129.2,
0.60056173,3185.6132,2328.9425,313.92028,7419163.3,
0.60065841,3152.0179,2322.7841,317.25708,7321457.1,
0.60075613,3130.2864,2318.7691,319.4612,7258420.7,
0.60085384,3119.7542,2316.8174,320.53809,7227900.5,
0.60094863,3162.1586,2324.6122,316.29484,7351113,
0.60104342,3215.1921,2334.3363,311.0234,7505339.6,
0.60113741,3234.1909,2337.7768,309.19672,7560818.5,
0.60123141,3242.5527,2339.2866,308.399,7585260,
0.60132969,3176.9407,2327.2704,314.90063,7394377.2,
0.60142798,3100.7113,2313.2738,322.50665,7172794.3,
0.6015271,3082.8774,2309.9403,324.37216,7121262.2,
0.60162622,3075.6814,2308.5911,325.1312,7100490.6,
0.60172093,3133.2432,2319.252,319.25421,7267327.5,
0.60181563,3218.5835,2334.9515,310.69569,7515236.2,
0.60190772,3277.8944,2345.6229,305.09069,7688808.6,
0.60199981,3309.4465,2351.2593,302.16534,7781366.5,
0.60209529,3266.5757,2343.5809,306.16811,7655715.5,
0.60219077,3191.6294,2330.0478,313.31958,7436649.4,
0.60229072,3105.3216,2314.0776,322.11025,7186415.7,
0.60239066,3051.0513,2303.9553,327.75587,7029486,
0.60248436,3145.1921,2321.3325,318.22788,7302655.7,
0.60257805,3252.9359,2341.1572,307.41461,7615634.1,
0.60267085,3270.1262,2344.247,305.7946,7665958.5,
0.60276365,3284.4821,2346.8128,304.462,7708065,
0.60285455,3324.2113,2353.862,300.84437,7824872.2,
0.60294544,3353.1348,2358.981,298.22841,7909981,
0.60304233,3256.8807,2341.6773,307.30712,7628207.5,
0.60313921,3145.5124,2321.5848,317.91322,7302573.9,
0.6032372,3120.3177,2316.9221,320.47987,7229532.1,
0.60333518,3110.2041,2315.0422,321.5223,7200254,
0.60343301,3111.8752,2315.3531,321.34958,7205089.8,
0.60353084,3116.5654,2316.2249,320.86604,7218666.4,
0.60362501,3169.9122,2326.0214,315.54195,7373726.6,
0.60371918,3235.6705,2338.0445,309.05494,7565142.1,
0.60381219,3264.2746,2343.1936,306.34823,7648836.5,
0.6039052,3277.4194,2345.55,305.1181,7687351.5,
0.60400429,3181.4216,2327.9847,314.6097,7407977.7,
0.60410338,3075.6816,2308.5911,325.13118,7100491.2,
0.60420319,3060.0235,2305.6475,326.79447,7055333.4,
0.60430299,3054.1084,2304.5322,327.42781,7038291,
0.6043986,3121.1817,2316.9819,320.53957,7232556.5,
0.6044942,3188.2847,2329.437,313.64828,7426908,
0.60459235,3148.1998,2322.0454,317.69304,7310557.2,
0.60469051,3103.8686,2313.8624,322.17858,7181924.7,
0.60478909,3097.016,2312.5843,322.89137,7162110.1,
0.60488768,3094.4155,2312.0986,323.16279,7154594,
0.60498495,3112.7579,2315.5098,321.26964,7207683.6,
0.60508222,3132.5799,2319.1948,319.2257,7265062.8,
0.60517943,3134.9343,2319.6304,318.98593,7271889.2,
0.60527664,3135.8027,2319.791,318.8976,7274407.5,
0.60537463,3128.1704,2318.3781,319.67581,7252282.7,
0.60547262,3110.2048,2315.0424,321.52223,7200255.9,
0.60557412,3067.5656,2307.0568,326.00675,7077129,
0.60567562,3002.9604,2294.8226,333.00473,6891261.2,
0.60578291,2905.6731,2275.9111,344.3073,6613788.3,
0.60589019,2840.634,2263.1614,352.03408,6428813,
